N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.924595,79.509573,0.244575,0.300000,0.628103,47.543270,0.002741,0.029715,48.171373,3874.342226,4.852901
3,0.200000,1238.000000,190718.189241,94.121323,0.289544,0.300000,1.082533,47.256587,0.004723,0.028685,48.339120,3880.725318,10.725191
4,0.300000,1229.500000,190726.644260,108.833659,0.334834,0.300000,1.426542,47.071702,0.006224,0.026651,48.498245,3888.159743,17.620108
5,0.400000,1221.000000,190736.298628,123.646007,0.380445,0.300000,1.690717,46.951541,0.007377,0.023355,48.642258,3896.655877,25.541040
6,0.500000,1212.500000,190747.160647,138.558341,0.426379,0.300000,1.889507,46.873723,0.008245,0.018555,48.763230,3906.223887,34.491664
7,0.600000,1204.000000,190759.237763,153.570991,0.472639,0.300000,2.028491,46.823456,0.008851,0.012050,48.851947,3916.873584,44.476107
8,0.700000,1195.500000,190772.536368,168.684559,0.519228,0.300000,2.108094,46.790126,0.009198,0.003707,48.898220,3928.614258,55.499153
9,0.800000,1187.000000,190787.061562,183.899152,0.566150,0.316150,2.125794,46.765562,0.009276,-0.006553,48.891356,3941.454467,67.566464
10,0.900000,1178.500000,190802.816503,199.205355,0.613378,0.363378,2.075744,46.743047,0.009057,-0.019363,48.818791,3955.401469,80.684496
11,1.000000,1170.000000,190819.801685,214.597025,0.660893,0.410893,1.948637,46.716587,0.008503,-0.034805,48.665224,3970.460579,94.860429
12,1.100000,1161.500000,190838.014963,230.069812,0.708687,0.458687,1.736280,46.680611,0.007576,-0.052325,48.416892,3986.635181,110.102824
13,1.200000,1153.000000,190857.451212,245.618568,0.756744,0.506744,1.434832,46.630042,0.006261,-0.070753,48.064874,4003.926408,126.421933
14,1.300000,1144.500000,190878.102023,261.237065,0.805047,0.557571,1.048457,46.560564,0.004529,-0.088175,47.609021,4022.332852,143.829854
15,1.400000,1136.000000,190899.955322,276.909244,0.853550,0.630326,0.593298,46.469050,0.002311,-0.101915,47.062348,4041.850194,162.340283
16,1.500000,1127.500000,190922.994908,292.617821,0.902201,0.703082,0.100777,46.354201,0.000356,-0.108727,46.454978,4062.470760,181.967644
