N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
17,1.600000,1119.000000,190947.201560,308.351111,0.950966,0.771353,-0.380763,46.217123,-0.001668,-0.105105,45.836360,4084.184457,202.726779
18,1.700000,1110.500000,190972.554341,324.096661,0.999809,0.839733,-0.784444,46.061761,-0.004105,-0.087234,45.277318,4106.979915,224.632061
19,1.800000,1102.000000,190999.032684,339.864342,1.048762,0.856254,-1.031922,45.895492,-0.005550,-0.054801,44.863570,4130.846338,247.696259
20,1.900000,1093.500000,191026.620621,355.672539,1.097883,0.869471,-1.064554,45.728664,-0.004704,-0.013894,44.664110,4155.777319,271.930551
21,2.000000,1085.000000,191055.307656,371.536628,1.147223,0.851111,-0.872569,45.572311,-0.003807,0.025881,44.699742,4181.771678,297.342229
22,2.100000,1076.500000,191085.090237,387.476649,1.196845,0.831262,-0.495588,45.435478,-0.002162,0.055851,44.939890,4208.834868,323.935132
23,2.200000,1068.000000,191115.969864,403.491160,1.246748,0.815976,-0.019691,45.323614,-0.000086,0.067819,45.303923,4236.977343,351.709143
24,2.300000,1059.500000,191147.950379,419.576474,1.296922,0.800923,0.436585,45.237085,0.001905,0.057307,45.673670,4266.212154,380.661103
25,2.400000,1051.000000,191181.035151,435.725600,1.347349,0.795265,0.749996,45.170911,0.003272,0.025588,45.920907,4296.552415,410.787383
26,2.500000,1042.500000,191215.223405,451.929240,1.398002,0.790200,0.827411,45.115848,0.003610,-0.019451,45.943259,4328.007928,442.086249
27,2.600000,1034.000000,191250.508378,468.193203,1.448902,0.778589,0.640743,45.060760,0.002750,-0.063932,45.701502,4360.583431,474.560851
28,2.700000,1025.500000,191286.877118,484.525639,1.500077,0.766649,0.247970,44.995888,0.001046,-0.092258,45.243858,4394.278330,508.220970
29,2.800000,1017.000000,191324.311193,500.927613,1.551533,0.754642,-0.217951,44.915968,-0.000903,-0.093217,44.698016,4429.087253,543.081669
30,2.900000,1008.500000,191362.789563,517.399781,1.603273,0.742570,-0.590182,44.821964,-0.002401,-0.064783,44.231782,4465.002644,579.160225
31,3.000000,1000.000000,191402.292770,533.943715,1.655305,0.730429,-0.728401,44.720708,-0.002908,-0.016327,43.992307,4502.018639,616.472283
32,3.100000,991.500000,191442.806749,550.562298,1.707642,0.718217,-0.577304,44.622344,-0.002261,0.033704,44.045040,4540.134680,655.028475
33,3.200000,983.000000,191484.324609,567.258542,1.760294,0.705931,-0.197195,44.536371,-0.000757,0.064574,44.339176,4579.357304,694.832836
34,3.300000,974.500000,191526.845385,584.034445,1.813271,0.693570,0.252083,44.467785,0.000948,0.062258,44.719869,4619.699099,735.883845
35,3.400000,966.000000,191570.370066,600.891656,1.866582,0.681131,0.574202,44.414953,0.002116,0.026707,44.989156,4661.175049,778.177934
36,3.500000,957.500000,191614.896551,617.833105,1.920238,0.668611,0.623609,44.370294,0.002249,-0.026591,44.993903,4703.797758,821.714238
37,3.600000,949.000000,191660.415779,634.863149,1.974257,0.656007,0.377674,44.323658,0.001332,-0.072604,44.701332,4747.573668,866.498474
38,3.700000,940.500000,191706.910850,651.984112,2.028648,0.645225,-0.044643,44.266993,-0.000158,-0.088401,44.222349,4792.502072,912.543918
39,3.720000,938.800000,191716.325039,655.418353,2.039569,0.643405,-0.132368,44.254137,-0.000470,-0.086791,44.121769,4801.625584,921.905894
