N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.341917,79.458025,0.244414,0.300000,0.749601,47.422287,0.003271,0.030000,48.171887,3873.830441,4.349349
3,0.200000,1238.000000,190717.001501,94.020566,0.289230,0.300000,1.254903,47.088872,0.005476,0.029262,48.343775,3879.681415,9.725396
4,0.300000,1229.500000,190724.834084,108.684218,0.334367,0.300000,1.623134,46.888303,0.007082,0.027535,48.511436,3886.567582,16.126910
5,0.400000,1221.000000,190733.851689,123.447747,0.379825,0.300000,1.901804,46.767397,0.008298,0.024552,48.669200,3894.501777,23.554638
6,0.500000,1212.500000,190744.064858,138.310814,0.425603,0.300000,2.112787,46.697084,0.009219,0.020046,48.809872,3903.495920,32.010337
7,0.600000,1204.000000,190755.482999,153.273548,0.471704,0.300000,2.265098,46.659632,0.009883,0.013770,48.924729,3913.561322,41.496458
8,0.700000,1195.500000,190768.114439,168.336395,0.518132,0.300000,2.360519,46.643106,0.010300,0.005516,49.003626,3924.708744,52.016096
9,0.800000,1187.000000,190781.966349,183.500054,0.564890,0.314890,2.396504,46.638724,0.010457,-0.004848,49.035228,3936.948339,63.573075
10,0.900000,1178.500000,190797.044574,198.761417,0.611972,0.361972,2.367977,46.639476,0.010332,-0.017672,49.007453,3950.289506,76.172120
11,1.000000,1170.000000,190813.353087,214.109875,0.659347,0.409347,2.266802,46.639401,0.009891,-0.033755,48.906203,3964.740413,89.818816
12,1.100000,1161.500000,190830.893106,229.541496,0.707004,0.457004,2.079750,46.633050,0.009075,-0.052976,48.712800,3980.307207,104.519337
13,1.200000,1153.000000,190849.663317,245.051749,0.754933,0.504933,1.794291,46.614977,0.007829,-0.074676,48.409269,3996.994205,120.281223
14,1.300000,1144.500000,190869.659386,260.635321,0.803118,0.554677,1.401649,46.579758,0.006078,-0.097422,47.981407,4014.803445,137.113768
15,1.400000,1136.000000,190890.873457,276.284990,0.851541,0.627311,0.901029,46.522193,0.003526,-0.118767,47.423222,4033.734220,155.028385
16,1.500000,1127.500000,190913.293649,291.978490,0.900133,0.700187,0.305039,46.437700,0.001065,-0.135084,46.742739,4053.782590,174.038824
17,1.600000,1119.000000,190936.902654,307.702805,0.948858,0.768402,-0.354325,46.323089,-0.001539,-0.141594,45.968764,4074.940095,194.160314
18,1.700000,1110.500000,190961.678712,323.446865,0.997683,0.836757,-1.019777,46.177270,-0.005298,-0.132126,45.157493,4097.194562,215.409993
19,1.800000,1102.000000,190987.596427,339.195142,1.046563,0.855521,-1.601633,46.002097,-0.008603,-0.098632,44.400464,4120.530787,237.806407
20,1.900000,1093.500000,191014.627686,354.980236,1.095598,0.868900,-1.968596,45.803938,-0.008816,-0.039463,43.835342,4144.931306,261.367989
21,2.000000,1085.000000,191042.747805,370.802757,1.144795,0.852082,-1.986122,45.595357,-0.008666,0.037398,43.609235,4170.381916,286.114223
22,2.100000,1076.500000,191071.936583,386.696493,1.194257,0.832297,-1.570090,45.393597,-0.006851,0.120025,43.823507,4196.872658,312.060079
23,2.200000,1068.000000,191102.184409,402.670361,1.244017,0.816795,-0.707129,45.218331,-0.003085,0.189602,44.511202,4224.403421,339.215168
24,2.300000,1059.500000,191133.493049,418.721294,1.294065,0.801780,0.509408,45.088131,0.002223,0.223000,45.597540,4252.984807,367.579557
25,2.400000,1051.000000,191165.875748,434.844506,1.344391,0.795561,1.859308,45.015928,0.008113,0.197427,46.875237,4282.638381,397.142046
26,2.500000,1042.500000,191199.355290,451.016544,1.394924,0.790508,3.002177,45.004234,0.013099,0.097695,48.006411,4313.395078,427.881646
27,2.600000,1034.000000,191233.957220,467.227191,1.445637,0.779351,3.524893,45.041267,0.015146,-0.074071,48.566161,4345.289120,459.770975
28,2.700000,1025.500000,191269.702023,483.492563,1.496581,0.767464,3.042340,45.099427,0.012847,-0.286612,48.141767,4378.350859,492.785123
29,2.800000,1017.000000,191306.595967,499.833377,1.547824,0.755508,1.361629,45.137971,0.005648,-0.479329,46.499600,4412.598222,526.913831
30,2.900000,1008.500000,191344.620685,516.263528,1.599412,0.743471,-1.358219,45.111464,-0.005532,-0.569749,43.753245,4448.026786,562.172176
31,3.000000,1000.000000,191383.726489,532.764359,1.651289,0.731366,-4.494564,44.983387,-0.017969,-0.475468,40.488823,4484.603079,598.606434
32,3.100000,991.500000,191423.832683,549.285486,1.703299,0.719230,-6.978080,44.742673,-0.027369,-0.150520,37.764593,4522.264283,636.289484
33,3.200000,983.000000,191464.840496,565.800049,1.755361,0.707082,-7.515505,44.417680,-0.028908,0.373324,36.902175,4560.929802,675.303881
34,3.300000,974.500000,191506.663036,582.371713,1.807673,0.694876,-5.039208,44.080371,-0.019000,0.958728,39.041163,4600.529229,715.716531
35,3.400000,966.000000,191549.267676,599.119041,1.860604,0.682526,0.698709,43.835560,0.002581,1.366373,44.534269,4641.042892,757.552057
36,3.500000,957.500000,191592.712016,616.026420,1.914110,0.670041,8.571065,43.791945,0.030989,1.307799,52.363010,4682.537337,800.768342
37,3.600000,949.000000,191637.145593,632.797698,1.967278,0.657635,15.842526,44.013622,0.056055,0.569890,59.856148,4725.168934,845.236673
38,3.700000,940.500000,191682.759711,649.112718,2.019118,0.646814,18.653610,44.467765,0.065632,-0.816650,63.121375,4769.137576,890.745878
39,3.720000,938.800000,191692.167296,652.332233,2.029366,0.645106,17.610529,44.575034,0.062225,-1.151365,62.185563,4778.231748,900.010595
