N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.925735,79.510554,0.244578,0.300000,0.615513,47.556374,0.002686,0.029695,48.171887,3874.343228,4.860064
3,0.200000,1238.000000,190718.194111,94.122907,0.289549,0.300000,1.066063,47.274228,0.004652,0.028663,48.340291,3880.729598,10.737268
4,0.300000,1229.500000,190726.654438,108.835717,0.334840,0.300000,1.409504,47.090803,0.006150,0.026640,48.500306,3888.168697,17.635772
5,0.400000,1221.000000,190736.315204,123.648484,0.380453,0.300000,1.674538,46.970960,0.007307,0.023361,48.645498,3896.670471,25.559407
6,0.500000,1212.500000,190747.184463,138.561203,0.426388,0.300000,1.874858,46.893092,0.008181,0.018583,48.767950,3906.244877,34.512060
7,0.600000,1204.000000,190759.269547,153.574207,0.472649,0.300000,2.015680,46.842730,0.008795,0.012096,48.858410,3916.901628,44.497955
8,0.700000,1195.500000,190772.576805,168.688096,0.519239,0.300000,2.097199,46.809398,0.009151,0.003765,48.906597,3928.649980,55.521899
9,0.800000,1187.000000,190787.111346,183.903689,0.566165,0.316165,2.116724,46.784968,0.009236,-0.006441,48.901692,3941.498505,67.589545
10,0.900000,1178.500000,190802.876596,199.210264,0.613393,0.363393,2.069360,46.762772,0.009029,-0.019269,48.832132,3955.454704,80.707503
11,1.000000,1170.000000,190819.872950,214.602262,0.660910,0.410910,1.944331,46.736875,0.008484,-0.034772,48.681206,3970.523813,94.882721
12,1.100000,1161.500000,190838.098365,230.075350,0.708705,0.458705,1.732834,46.701604,0.007561,-0.052409,48.434438,3986.709310,110.123668
13,1.200000,1153.000000,190857.547779,245.624406,0.756763,0.506763,1.430307,46.651715,0.006241,-0.071003,48.082023,4004.012396,126.440543
14,1.300000,1144.500000,190878.212775,261.243299,0.805068,0.557601,1.040254,46.582675,0.004493,-0.088598,47.622929,4022.431663,143.845475
15,1.400000,1136.000000,190900.081341,276.915911,0.853572,0.630358,0.578531,46.491096,0.002254,-0.102430,47.069626,4041.962860,162.352480
16,1.500000,1127.500000,190923.136818,292.624922,0.902225,0.703115,0.077111,46.375434,0.000272,-0.109104,46.452544,4062.597909,181.976179
17,1.600000,1119.000000,190947.359443,308.358567,0.950991,0.771388,-0.413971,46.236636,-0.001813,-0.104962,45.822665,4084.326243,202.731861
18,1.700000,1110.500000,190972.727658,324.104310,0.999835,0.839769,-0.825359,46.078584,-0.004319,-0.085808,45.253226,4107.135939,224.634547
19,1.800000,1102.000000,190999.219473,339.871902,1.048787,0.856262,-1.069057,45.908889,-0.005749,-0.051138,44.839832,4131.014917,247.697188
20,1.900000,1093.500000,191026.818802,355.679882,1.097908,0.869477,-1.078498,45.738921,-0.004765,-0.007715,44.660422,4155.956653,271.931887
21,2.000000,1085.000000,191055.514909,371.543997,1.147248,0.851101,-0.844227,45.581125,-0.003684,0.033377,44.736898,4181.959738,297.345391
22,2.100000,1076.500000,191085.305679,387.484381,1.196872,0.831251,-0.416520,45.445486,-0.001817,0.062450,45.028966,4209.030923,323.940803
23,2.200000,1068.000000,191116.194537,403.499298,1.246776,0.815967,0.102058,45.337699,0.000445,0.070570,45.439757,4237.182410,351.716509
24,2.300000,1059.500000,191148.187284,419.584615,1.296951,0.800915,0.572854,45.257403,0.002500,0.053449,45.830257,4266.429060,380.667443
25,2.400000,1051.000000,191181.288941,435.733317,1.347377,0.795262,0.856054,45.197904,0.003735,0.013899,46.053958,4296.785531,410.788624
26,2.500000,1042.500000,191215.498925,451.936414,1.398029,0.790197,0.854067,45.147652,0.003727,-0.037383,46.001719,4328.261853,442.077832
27,2.600000,1034.000000,191250.808943,468.200232,1.448929,0.778583,0.553837,45.093314,0.002377,-0.082928,45.647151,4360.861403,474.539276
28,2.700000,1025.500000,191287.203163,484.532898,1.500106,0.766642,0.052099,45.024013,0.000220,-0.104450,45.076112,4394.580953,508.185656
29,2.800000,1017.000000,191324.659364,500.934820,1.551561,0.754636,-0.467188,44.935370,-0.001936,-0.090981,44.468182,4429.411616,543.035634
30,2.900000,1008.500000,191363.153413,517.406344,1.603300,0.742563,-0.795450,44.831365,-0.003236,-0.044789,44.035915,4465.342917,579.109318
31,3.000000,1000.000000,191402.665205,533.949721,1.655331,0.730423,-0.785402,44.723101,-0.003135,0.017006,43.937699,4502.368323,616.422893
32,3.100000,991.500000,191443.183510,550.568643,1.707669,0.718211,-0.426232,44.624479,-0.001669,0.067664,44.198247,4540.489873,654.984420
33,3.200000,983.000000,191484.707179,567.265640,1.760324,0.705924,0.131821,44.546226,0.000506,0.082152,44.678047,4579.719493,694.792735
34,3.300000,974.500000,191527.241503,584.041341,1.813301,0.693563,0.628381,44.490776,0.002364,0.050239,45.119157,4620.075739,735.840460
35,3.400000,966.000000,191570.790950,600.897293,1.866608,0.681125,0.810241,44.450620,0.002985,-0.015465,45.260861,4661.577026,778.120505
36,3.500000,957.500000,191615.351636,617.838000,1.920264,0.668605,0.565892,44.411462,0.002041,-0.082486,44.977355,4704.234395,821.633453
37,3.600000,949.000000,191660.907297,634.868460,1.974285,0.656000,0.005043,44.359180,0.000018,-0.113511,44.364223,4748.047490,866.391842
38,3.700000,940.500000,191707.431313,651.990951,2.028682,0.645220,-0.574796,44.287357,-0.002030,-0.087351,43.712561,4793.006231,912.418283
39,3.720000,938.800000,191716.942806,655.431498,2.039625,0.643396,-0.627168,44.270126,-0.002225,-0.072507,43.642959,4802.224590,921.882112
