N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.869082,79.505461,0.244562,0.300000,0.000000,47.470733,0.000000,0.030000,48.171887,3874.293466,4.809178
3,0.200000,1238.000000,190718.063497,94.115964,0.289527,0.300000,0.000000,47.027274,0.000000,0.030000,48.343775,3880.614797,10.650712
4,0.300000,1229.500000,190726.420842,108.831132,0.334825,0.300000,0.000000,46.645615,0.000000,0.030000,48.515662,3887.963219,17.540120
5,0.400000,1221.000000,190735.938686,123.650791,0.380458,0.300000,0.000000,46.310647,0.000000,0.030000,48.687549,3896.338981,25.491773
6,0.500000,1212.500000,190746.615099,138.574894,0.426427,0.300000,0.000000,46.012230,0.000000,0.030000,48.859437,3905.743101,34.519192
7,0.600000,1204.000000,190758.448463,153.603483,0.472735,0.300000,0.000000,45.743224,0.000000,0.030000,49.031324,3916.177208,44.635248
8,0.700000,1195.500000,190771.437335,168.736658,0.519382,0.300000,0.000000,45.498407,0.000000,0.030000,49.203211,3927.643425,55.852306
9,0.800000,1187.000000,190785.580348,183.974016,0.566372,0.316372,0.000000,45.273843,0.000000,0.030000,49.375099,3940.144282,68.182320
10,0.900000,1178.500000,190800.875797,199.305615,0.613673,0.363673,0.000000,45.066486,0.000000,0.030000,49.546986,3953.682356,81.636611
11,1.000000,1170.000000,190817.321087,214.724076,0.661267,0.411267,0.000000,44.873923,0.000000,0.030000,49.718873,3968.259779,96.225484
12,1.100000,1161.500000,190834.913054,230.224064,0.709138,0.459138,0.000000,44.694213,0.000000,0.030000,49.890761,3983.878526,111.958582
13,1.200000,1153.000000,190853.647949,245.799537,0.757270,0.507270,0.000000,44.525773,0.000000,0.030000,50.062648,4000.540392,128.844926
14,1.300000,1144.500000,190873.521349,261.443703,0.805643,0.558465,0.000000,44.367291,0.000000,0.030000,50.234535,4018.246920,146.892891
15,1.400000,1136.000000,190894.527891,277.140755,0.854213,0.631319,0.000000,44.217671,0.000000,0.030000,50.406423,4036.999153,166.109992
16,1.500000,1127.500000,190916.660554,292.873420,0.902926,0.704096,0.000000,44.075976,0.000000,0.030000,50.578310,4056.796988,186.502251
17,1.600000,1119.000000,190939.911045,308.630662,0.951751,0.772452,0.000000,43.941409,0.000000,0.030000,50.750197,4077.639510,208.074553
18,1.700000,1110.500000,190964.270042,324.400853,1.000655,0.840218,0.000000,43.813280,0.000000,0.030000,50.922085,4099.525192,230.830877
19,1.800000,1102.000000,190989.727486,340.192655,1.049665,0.856555,0.000000,43.690996,0.000000,0.030000,51.093972,4122.452156,254.774580
20,1.900000,1093.500000,191016.274679,356.024839,1.098843,0.869711,0.000000,43.574047,0.000000,0.030000,51.265859,4146.420053,279.910382
21,2.000000,1085.000000,191043.903472,371.910732,1.148230,0.850708,0.000000,43.461993,0.000000,0.030000,51.437747,4171.429345,306.243654
22,2.100000,1076.500000,191072.607108,387.870387,1.197892,0.830843,0.000000,43.354450,0.000000,0.030000,51.609634,4197.482080,333.781259
23,2.200000,1068.000000,191102.379202,403.902903,1.247827,0.815652,0.000000,43.251083,0.000000,0.030000,51.781521,4224.580978,362.530615
24,2.300000,1059.500000,191133.212865,420.005730,1.298031,0.800591,0.000000,43.151591,0.000000,0.030000,51.953409,4252.728644,392.498879
25,2.400000,1051.000000,191165.100747,436.173333,1.348487,0.795151,0.000000,43.055703,0.000000,0.030000,52.125296,4281.927602,423.692994
26,2.500000,1042.500000,191198.034470,452.396130,1.399170,0.790083,0.000000,42.963176,0.000000,0.030000,52.297183,4312.179769,456.119129
27,2.600000,1034.000000,191232.005119,468.678605,1.450095,0.778311,0.000000,42.873788,0.000000,0.030000,52.469071,4343.486899,489.783165
28,2.700000,1025.500000,191267.004056,485.028243,1.501288,0.766366,0.000000,42.787342,0.000000,0.030000,52.640958,4375.851334,524.691501
29,2.800000,1017.000000,191303.022610,501.446278,1.552754,0.754357,0.000000,42.703658,0.000000,0.030000,52.812845,4409.275719,560.850769
30,2.900000,1008.500000,191340.051894,517.934156,1.604502,0.742283,0.000000,42.622572,0.000000,0.030000,52.984733,4443.762836,598.267653
31,3.000000,1000.000000,191378.082814,534.493568,1.656539,0.730141,0.000000,42.543936,0.000000,0.030000,53.156620,4479.315617,636.948913
32,3.100000,991.500000,191417.106081,551.126455,1.708873,0.717930,0.000000,42.467614,0.000000,0.030000,53.328507,4515.937150,676.901406
33,3.200000,983.000000,191457.112232,567.835025,1.761513,0.705647,0.000000,42.393481,0.000000,0.030000,53.500395,4553.630705,718.132105
34,3.300000,974.500000,191498.091636,584.621754,1.814472,0.693290,0.000000,42.321422,0.000000,0.030000,53.672282,4592.399739,760.648123
35,3.400000,966.000000,191540.034517,601.489406,1.867759,0.680856,0.000000,42.251332,0.000000,0.030000,53.844170,4632.247918,804.456735
36,3.500000,957.500000,191582.930962,618.441040,1.921386,0.668343,0.000000,42.183114,0.000000,0.030000,54.016057,4673.179133,849.565406
37,3.600000,949.000000,191626.770944,635.480023,1.975369,0.655747,0.000000,42.116677,0.000000,0.030000,54.187944,4715.197516,895.981809
38,3.700000,940.500000,191671.544315,652.608303,2.029714,0.645048,0.000000,42.051938,0.000000,0.030000,54.359832,4758.307449,943.713840
39,3.720000,938.800000,191680.610074,656.043866,2.040625,0.643229,0.000000,42.039187,0.000000,0.030000,54.394209,4767.060804,953.418809
