N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.928104,79.510698,0.244578,0.300000,0.000000,47.475852,0.000000,0.030000,48.171887,3874.345309,4.860323
3,0.200000,1238.000000,190718.182380,94.126364,0.289559,0.300000,0.000000,47.036052,0.000000,0.030000,48.343775,3880.719288,10.753637
4,0.300000,1229.500000,190726.600481,108.846648,0.334874,0.300000,0.000000,46.657153,0.000000,0.030000,48.515662,3888.121234,17.695387
5,0.400000,1221.000000,190736.180016,123.671388,0.380522,0.300000,0.000000,46.324350,0.000000,0.030000,48.687549,3896.551449,25.699890
6,0.500000,1212.500000,190746.919082,138.600551,0.426508,0.300000,0.000000,46.027684,0.000000,0.030000,48.859437,3906.010995,34.780625
7,0.600000,1204.000000,190758.816080,153.634183,0.472831,0.300000,0.000000,45.760128,0.000000,0.030000,49.031324,3916.501540,44.950432
8,0.700000,1195.500000,190771.869578,168.772393,0.519495,0.300000,0.000000,45.516535,0.000000,0.030000,49.203211,3928.025237,56.221650
9,0.800000,1187.000000,190786.078213,184.014575,0.566500,0.316500,0.000000,45.293020,0.000000,0.030000,49.375099,3940.584640,68.606206
10,0.900000,1178.500000,190801.440198,199.350362,0.613815,0.363815,0.000000,45.086572,0.000000,0.030000,49.546986,3954.182280,82.115331
11,1.000000,1170.000000,190817.952872,214.772731,0.661421,0.411421,0.000000,44.894806,0.000000,0.030000,49.718873,3968.820254,96.759258
12,1.100000,1161.500000,190835.613024,230.276310,0.709304,0.459304,0.000000,44.715801,0.000000,0.030000,49.890761,3984.500516,112.547576
13,1.200000,1153.000000,190854.416845,245.855017,0.757447,0.507447,0.000000,44.547989,0.000000,0.030000,50.062648,4001.224836,129.489247
14,1.300000,1144.500000,190874.359846,261.501947,0.805830,0.558746,0.000000,44.390072,0.000000,0.030000,50.234535,4018.994722,147.592585
15,1.400000,1136.000000,190895.436524,277.200567,0.854406,0.631608,0.000000,44.240960,0.000000,0.030000,50.406423,4037.811117,166.864976
16,1.500000,1127.500000,190917.639706,292.934134,0.903123,0.704372,0.000000,44.099726,0.000000,0.030000,50.578310,4057.673806,187.312303
17,1.600000,1119.000000,190940.960994,308.691758,0.951951,0.772731,0.000000,43.965577,0.000000,0.030000,50.750197,4078.581805,208.939363
18,1.700000,1110.500000,190965.390959,324.461601,1.000855,0.840285,0.000000,43.837831,0.000000,0.030000,50.922085,4100.533517,231.750040
19,1.800000,1102.000000,190990.919595,340.255028,1.049872,0.856624,0.000000,43.715898,0.000000,0.030000,51.093972,4123.527136,255.747749
20,1.900000,1093.500000,191017.538339,356.088720,1.099056,0.869764,0.000000,43.599274,0.000000,0.030000,51.265859,4147.562457,280.937346
21,2.000000,1085.000000,191045.239126,371.977861,1.148455,0.850618,0.000000,43.487521,0.000000,0.030000,51.437747,4172.640049,307.324296
22,2.100000,1076.500000,191074.015341,387.940936,1.198129,0.830748,0.000000,43.380260,0.000000,0.030000,51.609634,4198.762112,334.915608
23,2.200000,1068.000000,191103.860566,403.976628,1.248076,0.815577,0.000000,43.277156,0.000000,0.030000,51.781521,4225.931372,363.718689
24,2.300000,1059.500000,191134.767871,420.082669,1.298291,0.800513,0.000000,43.177911,0.000000,0.030000,51.953409,4254.150423,393.740671
25,2.400000,1051.000000,191166.729839,436.252710,1.348758,0.795124,0.000000,43.082256,0.000000,0.030000,52.125296,4283.421760,424.988449
26,2.500000,1042.500000,191199.737989,452.477836,1.399450,0.790055,0.000000,42.989948,0.000000,0.030000,52.297183,4313.747236,457.468116
27,2.600000,1034.000000,191233.783417,468.763302,1.450387,0.778243,0.000000,42.900767,0.000000,0.030000,52.469071,4345.128648,491.185581
28,2.700000,1025.500000,191268.857517,485.116023,1.501592,0.766295,0.000000,42.814516,0.000000,0.030000,52.640958,4377.568396,526.147299
29,2.800000,1017.000000,191304.951600,501.537225,1.553071,0.754283,0.000000,42.731017,0.000000,0.030000,52.812845,4411.069146,562.359907
30,2.900000,1008.500000,191342.056763,518.028370,1.604832,0.742206,0.000000,42.650108,0.000000,0.030000,52.984733,4445.633696,599.830097
31,3.000000,1000.000000,191380.163894,534.591164,1.656882,0.730061,0.000000,42.571640,0.000000,0.030000,53.156620,4481.264997,638.564639
32,3.100000,991.500000,191419.263691,551.227566,1.709230,0.717846,0.000000,42.495478,0.000000,0.030000,53.328507,4517.966161,678.570401
33,3.200000,983.000000,191459.346676,567.939797,1.761885,0.705560,0.000000,42.421498,0.000000,0.030000,53.500395,4555.740479,719.854370
34,3.300000,974.500000,191500.403206,584.730354,1.814859,0.693200,0.000000,42.349586,0.000000,0.030000,53.672282,4594.591435,762.423678
35,3.400000,966.000000,191542.423494,601.602016,1.868162,0.680762,0.000000,42.279636,0.000000,0.030000,53.844170,4634.522723,806.285618
36,3.500000,957.500000,191585.397616,618.557862,1.921806,0.668245,0.000000,42.211552,0.000000,0.030000,54.016057,4675.538262,851.447675
37,3.600000,949.000000,191629.315537,635.601279,1.975806,0.655645,0.000000,42.145245,0.000000,0.030000,54.187944,4717.642219,897.917547
38,3.700000,940.500000,191674.167089,652.733812,2.030169,0.644972,0.000000,42.080630,0.000000,0.030000,54.359832,4760.838995,945.703144
39,3.720000,938.800000,191683.248503,656.170168,2.041083,0.643153,0.000000,42.067904,0.000000,0.030000,54.394209,4769.609865,955.418832
