N,t(s),m(kg),P(N),V(m/s),M,Cxa,alpha(deg),theta_c(deg),Cya,omega_z(1/s),theta(deg),y(m),x(m)
1,0.000000,1255.000000,190704.840808,65.000000,0.199929,0.300000,0.000000,48.000000,0.000000,0.030000,48.000000,3869.000000,0.000000
2,0.100000,1246.500000,190710.341917,79.458025,0.244414,0.300000,0.000000,47.422287,0.000000,0.030000,48.171887,3873.830441,4.349349
3,0.200000,1238.000000,190717.001501,94.021876,0.289234,0.300000,0.000000,46.944426,0.000000,0.030000,48.343775,3879.681415,9.725396
4,0.300000,1229.500000,190724.815818,108.690905,0.334388,0.300000,0.000000,46.536934,0.000000,0.030000,48.515662,3886.551517,16.144339
5,0.400000,1221.000000,190733.782071,123.464772,0.379877,0.300000,0.000000,46.181764,0.000000,0.030000,48.687549,3894.440498,23.621044
6,0.500000,1212.500000,190743.898072,138.343322,0.425702,0.300000,0.000000,45.867055,0.000000,0.030000,48.859437,3903.348974,32.169410
7,0.600000,1204.000000,190755.162031,153.326521,0.471865,0.300000,0.000000,45.584591,0.000000,0.030000,49.031324,3913.278234,41.802609
8,0.700000,1195.500000,190767.572391,168.414418,0.518369,0.300000,0.000000,45.328437,0.000000,0.030000,49.203211,3924.230109,52.533250
9,0.800000,1187.000000,190781.127722,183.607121,0.565215,0.315215,0.000000,45.094171,0.000000,0.030000,49.375099,3936.206876,64.373488
10,0.900000,1178.500000,190795.826636,198.900662,0.612393,0.362393,0.000000,44.878404,0.000000,0.030000,49.546986,3949.211181,77.335115
11,1.000000,1170.000000,190811.667390,214.283535,0.659869,0.409869,0.000000,44.678476,0.000000,0.030000,49.718873,3963.245702,91.429333
12,1.100000,1161.500000,190828.647242,229.750735,0.707631,0.457631,0.000000,44.492258,0.000000,0.030000,49.890761,3978.312569,106.666256
13,1.200000,1153.000000,190846.762932,245.296566,0.755663,0.505663,0.000000,44.318020,0.000000,0.030000,50.062648,3994.413797,123.055413
14,1.300000,1144.500000,190866.010606,260.914612,0.803946,0.555920,0.000000,44.154339,0.000000,0.030000,50.234535,4011.551205,140.605721
15,1.400000,1136.000000,190886.385728,276.596606,0.852459,0.628688,0.000000,44.000028,0.000000,0.030000,50.406423,4029.726348,159.325457
16,1.500000,1127.500000,190907.882929,292.320191,0.901133,0.701586,0.000000,43.854086,0.000000,0.030000,50.578310,4048.940372,179.222142
17,1.600000,1119.000000,190930.494904,308.072991,0.949932,0.769905,0.000000,43.715655,0.000000,0.030000,50.750197,4069.193022,200.301543
18,1.700000,1110.500000,190954.213198,323.845269,0.998829,0.838361,0.000000,43.584000,0.000000,0.030000,50.922085,4090.483328,222.568391
19,1.800000,1102.000000,190979.028406,339.623238,1.047783,0.855928,0.000000,43.458483,0.000000,0.030000,51.093972,4112.809781,246.026590
20,1.900000,1093.500000,191004.929878,355.442022,1.096904,0.869226,0.000000,43.338548,0.000000,0.030000,51.265859,4136.170045,270.678923
21,2.000000,1085.000000,191031.909428,371.300334,1.146191,0.851524,0.000000,43.223725,0.000000,0.030000,51.437747,4160.564309,296.530619
22,2.100000,1076.500000,191059.958534,387.229523,1.195742,0.831703,0.000000,43.113599,0.000000,0.030000,51.609634,4185.992772,323.586721
23,2.200000,1068.000000,191089.070783,403.233425,1.245571,0.816329,0.000000,43.007813,0.000000,0.030000,51.781521,4212.457859,351.854480
24,2.300000,1059.500000,191119.239761,419.307611,1.295667,0.801300,0.000000,42.906052,0.000000,0.030000,51.953409,4239.962334,381.341355
25,2.400000,1051.000000,191150.458428,435.452634,1.346034,0.795397,0.000000,42.808030,0.000000,0.030000,52.125296,4268.508722,412.054422
26,2.500000,1042.500000,191182.719484,451.654580,1.396631,0.790337,0.000000,42.713494,0.000000,0.030000,52.297183,4298.099650,444.000735
27,2.600000,1034.000000,191216.014306,467.911037,1.447454,0.778928,0.000000,42.622210,0.000000,0.030000,52.469071,4328.736859,477.186275
28,2.700000,1025.500000,191250.333802,484.233255,1.498538,0.767008,0.000000,42.533969,0.000000,0.030000,52.640958,4360.421981,511.616790
29,2.800000,1017.000000,191285.669411,500.623131,1.549893,0.755025,0.000000,42.448583,0.000000,0.030000,52.812845,4393.157467,547.298808
30,2.900000,1008.500000,191322.012404,517.081979,1.601525,0.742977,0.000000,42.365880,0.000000,0.030000,52.984733,4426.945939,584.238954
31,3.000000,1000.000000,191359.353838,533.611353,1.653441,0.730864,0.000000,42.285705,0.000000,0.030000,53.156620,4461.790156,622.443905
32,3.100000,991.500000,191397.684567,550.213052,1.705650,0.718682,0.000000,42.207916,0.000000,0.030000,53.328507,4497.693020,661.920419
33,3.200000,983.000000,191436.995258,566.889134,1.758161,0.706429,0.000000,42.132381,0.000000,0.030000,53.500395,4534.657594,702.675348
34,3.300000,974.500000,191477.276404,583.641923,1.810982,0.694104,0.000000,42.058981,0.000000,0.030000,53.672282,4572.687116,744.715666
35,3.400000,966.000000,191518.518337,600.474021,1.864126,0.681704,0.000000,41.987607,0.000000,0.030000,53.844170,4611.785011,788.048489
36,3.500000,957.500000,191560.711245,617.388320,1.917603,0.669226,0.000000,41.918156,0.000000,0.030000,54.016057,4651.954913,832.681095
37,3.600000,949.000000,191603.845189,634.388013,1.971428,0.656667,0.000000,41.850535,0.000000,0.030000,54.187944,4693.200674,878.620953
38,3.700000,940.500000,191647.910113,651.476606,2.025612,0.645731,0.000000,41.784657,0.000000,0.030000,54.359832,4735.526390,925.875744
39,3.720000,938.800000,191656.924093,654.911522,2.036515,0.643914,0.000000,41.771814,0.000000,0.030000,54.394209,4744.208395,935.591272
